PatternId,Timestamp,Symbol,Direction,PatternType,OverallConfidence,Tier1Tools,Tier2Tools,Tier3Tools,Tier4Tools,CVD,Heatmap,VolumeDots,VWAP,VolumeProfile,Iceberg,VolumeBubbles,LargeLot,Imbalance,Absorption,StrengthLevel,StopRun,EntryPrice,StopLoss,TakeProfit,RiskRewardRatio,MathematicalSL,MathematicalTP,BookmapSL,BookmapTP,PositionSize,VolumeAtSignal,MarketCondition,TimeOfDay,PreviousPatternSuccess,PatternSequence,VolatilityLevel,Result,PipsGained,SuccessRate,FailureReason,LearningWeight,ShouldAdjustTargets,ShouldAdjustConfidence,ShouldAdjustPattern,AIRecommendation,FutureOptimization
P1,2025-06-04T13:42:15.3781967,EURUSD,BULLISH,STRONG_SIGNAL,٠٫٧٠٨,٠٫٩٩٦,٠٫٤٠٢,٠٫٧٧٦,٠٫٩٩٥,٠٫٥٩٣,٠٫٦٥٠,٠٫٢٠٧,٠٫٣٦٣,٠٫٣٠٠,٠٫٧٤٠,٠٫٥٢٠,٠٫٧٥٤,٠٫٠٠٠٠٠,٠٫٧٢٠٠٠,١٫٧٦٨٥٧,٢٫٤٦,٠٫٠٠٠٠٠,١٫٧٦٨٥٧,٠٫٧٢٠٠٠,١٫٧٦٨٥٧,STANDARD,٦٠٨٫١,NORMAL,NY_OPEN,٠٫٧٥٠,ANALYSIS_SEQUENCE,MEDIUM,DETECTED,٠٫٠٠,٠٫٧٥٠,PENDING,١٫٠٠,FALSE,FALSE,FALSE,,
P2,2025-06-04T13:42:15.3889418,EURUSD,BULLISH,STRONG_SIGNAL,٠٫٧٠٨,٠٫٨٥٠,٠٫٧٨٠,٠٫٨٢٠,٠٫٧٥٠,٠٫٨٨٠,٠٫٧٢٠,٠٫٠٠٠,٠٫٠٠٠,٠٫٠٠٠,٠٫٠٠٠,٠٫٠٠٠,٠٫٠٠٠,١٫٠٨٥٠٠,١٫٠٨٣٠٠,١٫٠٨٩٠٠,٢٫٠٠,١٫٠٨٣٥٠,١٫٠٨٨٥٠,١٫٠٨٣٢٠,١٫٠٨٨٨٠,MEDIUM,١٢٠٠٫٠,NORMAL,NY_OPEN,٠٫٧٥٠,TEST_SEQUENCE,MEDIUM,DETECTED,٠٫٠٠,٠٫٧٥٠,PENDING,١٫٠٠,FALSE,FALSE,FALSE,,
P3,2025-06-04T13:42:18.5896959,GBPUSD,BULLISH,STRONG_SIGNAL,٠٫٧٧٣,١٫٠٠٠,٠٫٦٨١,٠٫٦٧٣,٠٫٩٨٨,٠٫٧٥٥,٠٫٦٠٨,٠٫٤٠٣,٠٫٤٨٠,٠٫٥٧٨,٠٫٦١٤,٠٫٥٥٣,٠٫٤٥٥,٠٫٠٠٠٠٠,٠٫٧٢٠٠٠,١٫٨٢٢٩٥,٢٫٥٣,٠٫٠٠٠٠٠,١٫٨٢٢٩٥,٠٫٧٢٠٠٠,١٫٨٢٢٩٥,STANDARD,٦٤٨٫٩,NORMAL,NY_OPEN,٠٫٧٥٠,ANALYSIS_SEQUENCE,MEDIUM,DETECTED,٠٫٠٠,٠٫٧٥٠,PENDING,١٫٠٠,FALSE,FALSE,FALSE,,
P4,2025-06-04T13:42:18.5952206,GBPUSD,BULLISH,STRONG_SIGNAL,٠٫٧٧٣,٠٫٨٥٠,٠٫٧٨٠,٠٫٨٢٠,٠٫٧٥٠,٠٫٨٨٠,٠٫٧٢٠,٠٫٠٠٠,٠٫٠٠٠,٠٫٠٠٠,٠٫٠٠٠,٠٫٠٠٠,٠٫٠٠٠,١٫٢٧٥٠٠,١٫٢٧٣٠٠,١٫٢٧٩٠٠,٢٫٠٠,١٫٢٧٣٥٠,١٫٢٧٨٥٠,١٫٢٧٣٢٠,١٫٢٧٨٨٠,MEDIUM,١٥٠٠٫٠,NORMAL,NY_OPEN,٠٫٧٥٠,TEST_SEQUENCE,MEDIUM,DETECTED,٠٫٠٠,٠٫٧٥٠,PENDING,١٫٠٠,FALSE,FALSE,FALSE,,
P5,2025-06-04T13:42:21.7742163,USDJPY,BULLISH,STRONG_SIGNAL,٠٫٨٢٣,١٫٠٠٠,٠٫٨٠١,٠٫٧٤٧,١٫٠٠٠,٠٫٨٩٧,٠٫٧٦٩,٠٫٤١٥,٠٫٤٠٢,٠٫٣٨٩,٠٫٥٠٩,٠٫٥١٤,٠٫٧٦٨,٠٫٠٠٠٠٠,٠٫٧٢٠٠٠,٢٫٢٠٢٣٦,٣٫٠٦,٠٫٠٠٠٠٠,٢٫٢٠٢٣٦,٠٫٧٢٠٠٠,٢٫٢٠٢٣٦,MEDIUM,٦٨٤٫١,NORMAL,NY_OPEN,٠٫٧٥٠,ANALYSIS_SEQUENCE,MEDIUM,DETECTED,٠٫٠٠,٠٫٧٥٠,PENDING,١٫٠٠,FALSE,FALSE,FALSE,,
P6,2025-06-04T13:42:21.7767991,USDJPY,BULLISH,STRONG_SIGNAL,٠٫٨٢٣,٠٫٨٥٠,٠٫٧٨٠,٠٫٨٢٠,٠٫٧٥٠,٠٫٨٨٠,٠٫٧٢٠,٠٫٠٠٠,٠٫٠٠٠,٠٫٠٠٠,٠٫٠٠٠,٠٫٠٠٠,٠٫٠٠٠,١٤٩٫٨٥٠٠٠,١٤٩٫٨٤٨٠٠,١٤٩٫٨٥٤٠٠,٢٫٠٠,١٤٩٫٨٤٨٥٠,١٤٩٫٨٥٣٥٠,١٤٩٫٨٤٨٢٠,١٤٩٫٨٥٣٨٠,MEDIUM,٢٠٠٠٫٠,NORMAL,NY_OPEN,٠٫٧٥٠,TEST_SEQUENCE,MEDIUM,DETECTED,٠٫٠٠,٠٫٧٥٠,PENDING,١٫٠٠,FALSE,FALSE,FALSE,,
P7,2025-06-04T13:42:28.0123907,AUDUSD,BULLISH,MEDIUM_SIGNAL,٠٫٧١٤,٠٫٩٩٩,٠٫٥٦٣,٠٫٤٢٨,١٫٠٠٠,٠٫٩٠٩,٠٫٤٤٠,٠٫٧٦٨,٠٫٤٨٦,٠٫٤٦٩,٠٫٣٤٤,٠٫٤٢٥,٠٫٧٥٥,٠٫٠٠٠٠٠,٠٫٧٢٠٠٠,١٫٨١٩٧٢,٢٫٥٣,٠٫٠٠٠٠٠,١٫٨١٩٧٢,٠٫٧٢٠٠٠,١٫٨١٩٧٢,STANDARD,٦٣٢٫٢,NORMAL,NY_OPEN,٠٫٧٥٠,ANALYSIS_SEQUENCE,MEDIUM,DETECTED,٠٫٠٠,٠٫٧٥٠,PENDING,١٫٠٠,FALSE,FALSE,FALSE,,
P8,2025-06-04T13:42:28.0208824,AUDUSD,BULLISH,MEDIUM_SIGNAL,٠٫٧١٤,٠٫٨٥٠,٠٫٧٨٠,٠٫٨٢٠,٠٫٧٥٠,٠٫٨٨٠,٠٫٧٢٠,٠٫٠٠٠,٠٫٠٠٠,٠٫٠٠٠,٠٫٠٠٠,٠٫٠٠٠,٠٫٠٠٠,٠٫٦٧٥٠٠,٠٫٦٧٣٠٠,٠٫٦٧٩٠٠,٢٫٠٠,٠٫٦٧٣٥٠,٠٫٦٧٨٥٠,٠٫٦٧٣٢٠,٠٫٦٧٨٨٠,MEDIUM,١٨٠٠٫٠,NORMAL,NY_OPEN,٠٫٧٥٠,TEST_SEQUENCE,MEDIUM,DETECTED,٠٫٠٠,٠٫٧٥٠,PENDING,١٫٠٠,FALSE,FALSE,FALSE,,
P1,2025-06-04T14:37:17.4529262,GBPUSD,BULLISH,STRONG_SIGNAL,٠٫٧٣٢,٠٫٩٩٥,٠٫٦٩٤,٠٫٥١٢,١٫٠٠٠,٠٫٧٥٤,٠٫٤٥٨,٠٫٣٤٦,٠٫٣٩١,٠٫٤٩٥,٠٫٧٢٧,٠٫٧٣٣,٠٫٤٢١,٠٫٠٠٠٠٠,٠٫٧٢٠٠٠,١٫٨٢٤٢٥,٢٫٥٣,٠٫٠٠٠٠٠,١٫٨٢٤٢٥,٠٫٧٢٠٠٠,١٫٨٢٤٢٥,STANDARD,٦٢٧٫١,NORMAL,NY_OPEN,٠٫٧٥٠,ANALYSIS_SEQUENCE,MEDIUM,DETECTED,٠٫٠٠,٠٫٧٥٠,PENDING,١٫٠٠,FALSE,FALSE,FALSE,,
P2,2025-06-04T14:37:17.4584459,GBPUSD,BULLISH,STRONG_SIGNAL,٠٫٧٣٢,٠٫٨٥٠,٠٫٧٨٠,٠٫٨٢٠,٠٫٧٥٠,٠٫٨٨٠,٠٫٧٢٠,٠٫٠٠٠,٠٫٠٠٠,٠٫٠٠٠,٠٫٠٠٠,٠٫٠٠٠,٠٫٠٠٠,١٫٢٧٥٠٠,١٫٢٧٣٠٠,١٫٢٧٩٠٠,٢٫٠٠,١٫٢٧٣٥٠,١٫٢٧٨٥٠,١٫٢٧٣٢٠,١٫٢٧٨٨٠,MEDIUM,١٥٠٠٫٠,NORMAL,NY_OPEN,٠٫٧٥٠,TEST_SEQUENCE,MEDIUM,DETECTED,٠٫٠٠,٠٫٧٥٠,PENDING,١٫٠٠,FALSE,FALSE,FALSE,,
